profile_size,profile_counts,profile,optimum_value,optimum_count,selected_optimum,uniqueness_radius,local_sensitivity_optimum,local_sensitivity_selected_ranking,smooth_ranking_bound_beta_0_7
4,1 1 0 0 0 2,ABC:1 ACB:1 CBA:2,5,3,ACB,0,3,2,3.0
4,1 1 0 0 1 1,ABC:1 ACB:1 CAB:1 CBA:1,4,2,ACB,0,2,1,3.0
4,1 1 0 0 2 0,ABC:1 ACB:1 CAB:2,3,2,ACB,0,2,1,3.0
4,1 1 0 1 0 1,ABC:1 ACB:1 BCA:1 CBA:1,6,6,ABC,0,3,3,3.0
4,1 1 0 1 1 0,ABC:1 ACB:1 BCA:1 CAB:1,5,3,ABC,0,3,2,3.0
4,1 1 0 2 0 0,ABC:1 ACB:1 BCA:2,5,3,ABC,0,3,2,3.0
4,1 1 1 0 0 1,ABC:1 ACB:1 BAC:1 CBA:1,5,3,ABC,0,3,1,3.0
4,1 1 1 0 1 0,ABC:1 ACB:1 BAC:1 CAB:1,4,2,ABC,0,2,1,3.0
4,1 1 1 1 0 0,ABC:1 ACB:1 BAC:1 BCA:1,4,2,ABC,0,2,1,3.0
4,1 1 2 0 0 0,ABC:1 ACB:1 BAC:2,3,2,ABC,0,2,1,3.0
4,1 2 0 0 0 1,ABC:1 ACB:2 CBA:1,3,1,ACB,2,3,0,1.4897559113742287
4,1 2 0 0 1 0,ABC:1 ACB:2 CAB:1,2,1,ACB,2,3,0,1.4897559113742287
4,1 2 0 1 0 0,ABC:1 ACB:2 BCA:1,4,2,ABC,0,3,1,3.0
4,1 2 1 0 0 0,ABC:1 ACB:2 BAC:1,3,2,ABC,0,2,1,3.0
4,1 3 0 0 0 0,ABC:1 ACB:3,1,1,ACB,2,3,0,1.4897559113742287
4,2 0 0 0 0 2,ABC:2 CBA:2,6,6,ABC,0,3,3,3.0
4,2 0 0 0 1 1,ABC:2 CAB:1 CBA:1,5,3,ABC,0,3,2,3.0
4,2 0 0 0 2 0,ABC:2 CAB:2,4,3,ABC,0,2,2,3.0
4,2 0 0 1 0 1,ABC:2 BCA:1 CBA:1,5,3,ABC,0,3,2,3.0
4,2 0 0 1 1 0,ABC:2 BCA:1 CAB:1,4,1,ABC,1,3,0,3.0
4,2 0 0 2 0 0,ABC:2 BCA:2,4,3,ABC,0,2,2,3.0
4,2 0 1 0 0 1,ABC:2 BAC:1 CBA:1,4,2,ABC,0,3,1,3.0
4,2 0 1 0 1 0,ABC:2 BAC:1 CAB:1,3,1,ABC,2,3,0,1.4897559113742287
4,2 0 1 1 0 0,ABC:2 BAC:1 BCA:1,3,2,ABC,0,2,1,3.0
4,2 0 2 0 0 0,ABC:2 BAC:2,2,2,ABC,0,2,1,3.0
4,2 1 0 0 0 1,ABC:2 ACB:1 CBA:1,4,2,ABC,0,3,1,3.0
4,2 1 0 0 1 0,ABC:2 ACB:1 CAB:1,3,2,ABC,0,2,1,3.0
4,2 1 0 1 0 0,ABC:2 ACB:1 BCA:1,3,1,ABC,2,3,0,1.4897559113742287
4,2 1 1 0 0 0,ABC:2 ACB:1 BAC:1,2,1,ABC,2,3,0,1.4897559113742287
4,2 2 0 0 0 0,ABC:2 ACB:2,2,2,ABC,0,2,1,3.0
4,3 0 0 0 0 1,ABC:3 CBA:1,3,1,ABC,2,3,0,1.4897559113742287
4,3 0 0 0 1 0,ABC:3 CAB:1,2,1,ABC,2,3,0,1.4897559113742287
4,3 0 0 1 0 0,ABC:3 BCA:1,2,1,ABC,2,3,0,1.4897559113742287
4,3 0 1 0 0 0,ABC:3 BAC:1,1,1,ABC,2,3,0,1.4897559113742287
4,3 1 0 0 0 0,ABC:3 ACB:1,1,1,ABC,2,3,0,1.4897559113742287
4,4 0 0 0 0 0,ABC:4,0,1,ABC,4,3,0,0.3673692847589458
